#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
null	0.750306	7.6353e-25	5.84924e-21	0.000130535	N/S
null	1.24969	5.84847e-21	5.84924e-21	0.999869	*
null	0.750306	1.81068e-19	9.10756e-17	0.0019881	N/S
null	1.24969	9.08946e-17	9.10756e-17	0.998012	*
null	0.750306	9.61851e-07	2.6167e-06	0.367581	N/S
null	1.24969	1.65485e-06	2.6167e-06	0.632419	N/S
null	0.750306	2.42503e-21	3.91805e-18	0.000618939	N/S
null	1.24969	3.91562e-18	3.91805e-18	0.999381	*
null	0.750306	1.92801e-18	9.68525e-16	0.00199067	N/S
null	1.24969	9.66597e-16	9.68525e-16	0.998009	*
null	0.750306	3.50106e-45	1.79125e-37	1.95453e-08	N/S
null	1.24969	1.79125e-37	1.79125e-37	1	*
null	0.750306	1.13644e-14	6.62885e-13	0.0171439	N/S
null	1.24969	6.51521e-13	6.62885e-13	0.982856	*
null	0.750306	1.29629e-12	2.05619e-11	0.0630433	N/S
null	1.24969	1.92656e-11	2.05619e-11	0.936957	N/S
null	0.750306	2.76498e-21	1.05106e-17	0.000263065	N/S
null	1.24969	1.05079e-17	1.05106e-17	0.999737	*
null	0.750306	1.44219e-13	3.25129e-12	0.0443575	N/S
null	1.24969	3.10707e-12	3.25129e-12	0.955643	*
null	0.750306	6.95924e-33	8.42612e-27	8.25912e-07	N/S
null	1.24969	8.42611e-27	8.42612e-27	0.999999	*
null	0.750306	1.08909e-13	6.48994e-12	0.0167813	N/S
null	1.24969	6.38103e-12	6.48994e-12	0.983219	*
null	0.750306	1.90731e-16	2.18825e-14	0.00871615	N/S
null	1.24969	2.16917e-14	2.18825e-14	0.991284	*
null	0.750306	8.50012e-15	3.08538e-13	0.0275497	N/S
null	1.24969	3.00038e-13	3.08538e-13	0.97245	*
null	0.750306	1.00714e-15	1.25881e-13	0.00800071	N/S
null	1.24969	1.24874e-13	1.25881e-13	0.991999	*
null	0.750306	4.4702e-14	8.1166e-13	0.0550748	N/S
null	1.24969	7.66958e-13	8.1166e-13	0.944925	N/S
null	0.750306	2.17206e-12	2.6727e-11	0.0812684	N/S
null	1.24969	2.4555e-11	2.6727e-11	0.918732	N/S
null	0.750306	8.15148e-31	6.59227e-25	1.23652e-06	N/S
null	1.24969	6.59227e-25	6.59227e-25	0.999999	*
null	0.750306	1.15198e-24	7.82714e-21	0.000147177	N/S
null	1.24969	7.82598e-21	7.82714e-21	0.999853	*
null	0.750306	1.24361e-14	1.43975e-12	0.00863765	N/S
null	1.24969	1.42732e-12	1.43975e-12	0.991362	*
null	0.750306	1.55888e-40	1.14287e-33	1.36401e-07	N/S
null	1.24969	1.14287e-33	1.14287e-33	1	*
null	0.750306	1.65106e-18	8.98736e-16	0.0018371	N/S
null	1.24969	8.97085e-16	8.98736e-16	0.998163	*
null	0.750306	5.66689e-08	1.65632e-07	0.342138	N/S
null	1.24969	1.08963e-07	1.65632e-07	0.657862	N/S
null	0.750306	4.67095e-14	2.90602e-12	0.0160734	N/S
null	1.24969	2.85931e-12	2.90602e-12	0.983927	*
null	0.750306	4.15152e-16	6.02113e-14	0.00689493	N/S
null	1.24969	5.97961e-14	6.02113e-14	0.993105	*
null	0.750306	9.04575e-39	2.69491e-32	3.35661e-07	N/S
null	1.24969	2.69491e-32	2.69491e-32	1	*
null	0.750306	3.04496e-11	1.64256e-10	0.185379	N/S
null	1.24969	1.33806e-10	1.64256e-10	0.814621	N/S
